mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6953338623046875,0.1379069967850583,0.6266107082366943,0.16166733674587755,200,5,4,log2,20,,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None, 'bootstrap': False}",0.975949392444558,0.960571894497211,0.9922669468475158,0.9787471996752531,0.9881483611070008,0.9791367589143076,0.011032461751387258,25
1.306701421737671,0.2110371013121984,0.5942983627319336,0.13185419091293218,300,2,8,0.3,,,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.3, 'max_depth': None, 'class_weight': None, 'bootstrap': False}",0.9754311374681139,0.9561367578549212,0.9916451189633714,0.9927141400214631,0.9936031325025231,0.9819060573620785,0.014522168730667652,8
0.6596740245819092,0.17224486649628365,0.5118943691253662,0.11173360303124895,50,20,2,log2,20,balanced,True,"{'n_estimators': 50, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'class_weight': 'balanced', 'bootstrap': True}",0.9682337930180329,0.9550343656409794,0.9922669468475158,0.9852944990360848,0.9948801358417658,0.9791419480768757,0.015218235166070985,24
0.9830781936645507,0.06918418750333237,0.28839802742004395,0.07959018718231468,200,20,1,sqrt,10,balanced_subsample,False,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': 'balanced_subsample', 'bootstrap': False}",0.9760061148835306,0.9572416979834465,0.9918368969024614,0.9919911573979636,0.9918411202490631,0.9817833974832929,0.013726623830047567,9
0.94461088180542,0.05594844154868717,0.2848574161529541,0.0753316468642519,200,10,4,log2,5,balanced_subsample,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'class_weight': 'balanced_subsample', 'bootstrap': False}",0.9755831985086867,0.9550343656409794,0.9914072195644679,0.9896336548546509,0.990832236696632,0.9804981350530835,0.014012991526499994,14
1.2747471332550049,0.12096131266680174,0.382798433303833,0.1144330391331381,300,5,1,log2,5,balanced_subsample,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'class_weight': 'balanced_subsample', 'bootstrap': False}",0.9764481501567321,0.9539345125388013,0.9909779143494898,0.9746273288002556,0.9918411202490631,0.9775658052188684,0.01379848600952042,36
0.39833364486694334,0.1346366984958157,0.30828185081481935,0.09603952439096167,50,20,8,0.3,,,True,"{'n_estimators': 50, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.3, 'max_depth': None, 'class_weight': None, 'bootstrap': True}",0.9696490646337669,0.9572416979834465,0.9912158119735271,0.9884041634711026,0.9925880764192047,0.9798197628962095,0.013998598618254272,20
0.48456788063049316,0.08221685218663398,0.24148435592651368,0.062335408806415395,50,5,2,sqrt,15,,True,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'class_weight': None, 'bootstrap': True}",0.9698736648751606,0.9599744650207633,0.9923890259898043,0.9750635436071439,0.9907309653422387,0.9776063329670223,0.012392955166644532,35
0.9139605045318604,0.18086419242549862,0.3805536270141602,0.0589901574545866,200,5,4,log2,15,balanced_subsample,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced_subsample', 'bootstrap': False}",0.9763617626074832,0.9572416979834465,0.9922669468475158,0.9787471996752531,0.9952250236203816,0.979968526146816,0.013527904248910401,19
0.7290430545806885,0.10510561450353383,0.24040355682373046,0.10446752065289362,100,10,8,log2,,balanced_subsample,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': None, 'class_weight': 'balanced_subsample', 'bootstrap': False}",0.9759210740490533,0.9550343656409794,0.9916451189633714,0.990069910477876,0.9888206144038874,0.9802982167070334,0.01381514387189231,16
1.389624261856079,0.47781868051074655,0.5895147323608398,0.36324181720608756,200,2,2,0.5,10,balanced,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 10, 'class_weight': 'balanced', 'bootstrap': True}",0.9705060432234138,0.9594592573994534,0.9931281664991921,0.9750635436071439,0.9946202667764158,0.9785554555011238,0.01350624548698918,31
1.986612367630005,0.2796292420447315,0.557074499130249,0.18545931124760168,200,5,2,0.5,5,balanced_subsample,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 5, 'class_weight': 'balanced_subsample', 'bootstrap': False}",0.977472920334216,0.9583491948701132,0.9914072195644679,0.9816596008201658,0.992179824698218,0.9802137520574362,0.012297496553793837,18
1.8990099430084229,0.5065443183509024,0.524816370010376,0.2331823252491086,200,10,1,log2,15,balanced,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced', 'bootstrap': False}",0.9765735412454141,0.9594592573994534,0.9922669468475158,0.9748453874053593,0.9956394856296457,0.9797569237054777,0.01307676429759668,21
