system:index,class_name,label,lat,lon,run_tag,sample_id,season,tile_id,unique_id,weight,.geo,NDVI_AUC,NDVI_drop,NDVI_peak,NDVI_slopeEarly,NDWI_AUC,NDWI_drop,NDWI_peak,GNDVI_AUC,GNDVI_drop,SAVI_AUC,MSAVI2_AUC,h_NDVI_drop,h_NDWI_drop,h_AUC_z,h_NDVI_AUC_cur
0_1_57,healthy,0,30.62635281301526,75.47977393827344,rabi_2023_24,0_1_57,2023-11-01_to_2024-04-15,0,sample_0_1_57,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",86.79966,0.0,0.8434678,-9999.0,33.7655,0.0,0.48479298,81.21544,0.0,130.18205,104.52917,0.0,0.0,-2.4284165,86.79966
0_1_59,healthy,0,30.68474330648303,75.6012261646864,rabi_2023_24,0_1_59,2023-11-01_to_2024-04-15,0,sample_0_1_59,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",87.55758,0.0010076761,0.78500044,0.012815052,33.04788,0.0072242916,0.4476171,87.07805,0.006683886,131.31932,108.833305,0.0010076761,0.0072242916,0.049347643,87.55758
0_1_60,healthy,0,30.668393968312053,75.55145949794617,rabi_2023_24,0_1_60,2023-11-01_to_2024-04-15,0,sample_0_1_60,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",101.93478,0.0008376837,0.88744235,0.019073196,50.06874,0.0,0.54776895,95.87191,0.006597221,152.88338,117.58644,0.0008376837,0.0,1.4051411,101.93478
0_1_62,healthy,0,30.630305400265385,75.59403964241343,rabi_2023_24,0_1_62,2023-11-01_to_2024-04-15,0,sample_0_1_62,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",95.52694,0.0,0.8497185,0.022799123,31.422604,0.0,0.48158026,91.605064,0.0,143.27165,113.59201,0.0,0.0,1.7685024,95.52694
0_1_70,healthy,0,30.711333438892964,75.51193362544491,rabi_2023_24,0_1_70,2023-11-01_to_2024-04-15,0,sample_0_1_70,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",99.93987,0.0,0.8773031,0.020421736,40.574158,0.0,0.5536918,90.936905,0.0,149.88968,115.7601,0.0,0.0,1.6098282,99.93987
0_1_71,healthy,0,30.70881815609743,75.43395985878334,rabi_2023_24,0_1_71,2023-11-01_to_2024-04-15,0,sample_0_1_71,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",87.66251,0.0010647178,0.89517397,-9999.0,39.437046,0.007173121,0.56855077,86.26936,0.0011110306,131.47728,102.51076,0.0010647178,0.007173121,-0.6580758,87.66251
0_1_74,healthy,0,30.669831272766643,75.46935348097765,rabi_2023_24,0_1_74,2023-11-01_to_2024-04-15,0,sample_0_1_74,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",102.89482,0.012681663,0.87820417,0.012131702,44.67416,0.0021915436,0.5256897,94.65098,0.0017816424,154.32321,119.66115,0.012681663,0.0021915436,0.48475388,102.89482
0_1_76,healthy,0,30.63659360725422,75.60463976276606,rabi_2023_24,0_1_76,2023-11-01_to_2024-04-15,0,sample_0_1_76,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",100.01222,0.009148002,0.90430623,0.023104789,45.65099,0.010771215,0.557442,98.36558,0.006203532,149.99988,115.61473,0.009148002,0.010771215,1.8044533,100.01222
0_1_84,healthy,0,30.69624174211976,75.62170775316432,rabi_2023_24,0_1_84,2023-11-01_to_2024-04-15,0,sample_0_1_84,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",96.99292,0.0023912787,0.8792346,0.017362269,40.615658,0.0012335181,0.50099486,91.594864,0.00085902214,145.46965,113.242,0.0023912787,0.0012335181,0.6052866,96.99292
0_1_86,healthy,0,30.71295040640438,75.6184738181415,rabi_2023_24,0_1_86,2023-11-01_to_2024-04-15,0,sample_0_1_86,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",89.714264,0.0022535324,0.8967869,-9999.0,38.973347,0.004133582,0.54718995,86.85175,0.0,134.55531,105.142136,0.0022535324,0.004133582,0.3563303,89.714264
